region,N,exact_area,estimated_area,relative_error,absolute_error
narrow,2100,0.944517,0.942376,0.00226676,0.002141
narrow,2600,0.944517,0.9438,0.000759315,0.000717186
narrow,3100,0.944517,0.954577,0.0106512,0.0100602
narrow,3600,0.944517,0.952503,0.00845468,0.00798559
narrow,4100,0.944517,0.952171,0.00810313,0.00765355
narrow,4600,0.944517,0.948604,0.00432725,0.00408716
narrow,5100,0.944517,0.947725,0.00339677,0.0032083
narrow,5600,0.944517,0.941873,0.00279928,0.00264397
narrow,6100,0.944517,0.947508,0.00316671,0.00299101
narrow,6600,0.944517,0.946144,0.00172231,0.00162675
narrow,7100,0.944517,0.946162,0.0017414,0.00164479
narrow,7600,0.944517,0.946178,0.00175798,0.00166045
narrow,8100,0.944517,0.94494,0.000447128,0.00042232
narrow,8600,0.944517,0.940308,0.00445629,0.00420905
narrow,9100,0.944517,0.939157,0.0056749,0.00536004
narrow,9600,0.944517,0.939006,0.00583466,0.00551094
narrow,10100,0.944517,0.937866,0.00704153,0.00665085
narrow,10600,0.944517,0.938747,0.00610896,0.00577002
narrow,11100,0.944517,0.940005,0.00477681,0.00451178
narrow,11600,0.944517,0.938533,0.00633596,0.00598443
narrow,12100,0.944517,0.939975,0.00480878,0.00454198
narrow,12600,0.944517,0.942108,0.00255077,0.00240925
narrow,13100,0.944517,0.943433,0.00114806,0.00108436
narrow,13600,0.944517,0.941678,0.00300603,0.00283924
narrow,14100,0.944517,0.941606,0.00308254,0.00291151
narrow,14600,0.944517,0.940728,0.00401168,0.0037891
narrow,15100,0.944517,0.942707,0.00191692,0.00181056
narrow,15600,0.944517,0.942825,0.00179159,0.00169219
narrow,16100,0.944517,0.942726,0.00189631,0.0017911
narrow,16600,0.944517,0.943957,0.000593488,0.000560559
narrow,17100,0.944517,0.942249,0.00240129,0.00226806
narrow,17600,0.944517,0.941791,0.00288642,0.00272628
narrow,18100,0.944517,0.942572,0.00205964,0.00194536
narrow,18600,0.944517,0.943038,0.00156589,0.00147901
narrow,19100,0.944517,0.941268,0.00343998,0.00324912
narrow,19600,0.944517,0.941313,0.00339267,0.00320443
narrow,20100,0.944517,0.940935,0.00379279,0.00358236
narrow,20600,0.944517,0.940985,0.00373921,0.00353175
narrow,21100,0.944517,0.941034,0.00368817,0.00348354
narrow,21600,0.944517,0.940688,0.00405367,0.00382876
narrow,22100,0.944517,0.941276,0.00343108,0.00324072
narrow,22600,0.944517,0.941838,0.00283604,0.00267869
narrow,23100,0.944517,0.941864,0.00280897,0.00265312
narrow,23600,0.944517,0.943464,0.00111507,0.0010532
narrow,24100,0.944517,0.944086,0.000456629,0.000431294
narrow,24600,0.944517,0.943652,0.000915974,0.000865153
narrow,25100,0.944517,0.944111,0.000430303,0.000406429
narrow,25600,0.944517,0.944684,0.000176183,0.000166408
narrow,26100,0.944517,0.945429,0.000965096,0.00091155
narrow,26600,0.944517,0.943986,0.000562691,0.000531472
narrow,27100,0.944517,0.94428,0.000251431,0.000237481
narrow,27600,0.944517,0.944992,0.000502353,0.000474481
narrow,28100,0.944517,0.943754,0.000808296,0.000763449
narrow,28600,0.944517,0.943386,0.00119725,0.00113082
narrow,29100,0.944517,0.943496,0.00108094,0.00102097
narrow,29600,0.944517,0.943317,0.0012708,0.00120029
narrow,30100,0.944517,0.943144,0.00145436,0.00137366
narrow,30600,0.944517,0.943252,0.00133955,0.00126523
narrow,31100,0.944517,0.943629,0.000940765,0.000888569
narrow,31600,0.944517,0.943138,0.00146056,0.00137953
narrow,32100,0.944517,0.943241,0.00135102,0.00127606
narrow,32600,0.944517,0.943134,0.00146439,0.00138314
narrow,33100,0.944517,0.94252,0.00211489,0.00199755
narrow,33600,0.944517,0.941924,0.00274603,0.00259367
narrow,34100,0.944517,0.942237,0.00241418,0.00228024
narrow,34600,0.944517,0.941711,0.00297105,0.0028062
narrow,35100,0.944517,0.941296,0.00341009,0.00322089
narrow,35600,0.944517,0.94151,0.00318342,0.00300679
narrow,36100,0.944517,0.940548,0.00420213,0.00396899
narrow,36600,0.944517,0.940767,0.00397083,0.00375052
narrow,37100,0.944517,0.940569,0.00417982,0.00394791
narrow,37600,0.944517,0.940692,0.00405014,0.00382543
narrow,38100,0.944517,0.940722,0.00401779,0.00379488
narrow,38600,0.944517,0.940796,0.00393993,0.00372133
narrow,39100,0.944517,0.940608,0.00413862,0.003909
narrow,39600,0.944517,0.940681,0.0040612,0.00383587
narrow,40100,0.944517,0.940626,0.00411957,0.003891
narrow,40600,0.944517,0.940406,0.00435278,0.00411127
narrow,41100,0.944517,0.939163,0.00566868,0.00535417
narrow,41600,0.944517,0.939413,0.00540455,0.00510469
narrow,42100,0.944517,0.939255,0.00557169,0.00526255
narrow,42600,0.944517,0.939537,0.00527289,0.00498033
narrow,43100,0.944517,0.940165,0.00460739,0.00435176
narrow,43600,0.944517,0.940276,0.00449065,0.0042415
narrow,44100,0.944517,0.940268,0.00449828,0.00424871
narrow,44600,0.944517,0.94011,0.00466622,0.00440732
narrow,45100,0.944517,0.940292,0.00447336,0.00422517
narrow,45600,0.944517,0.940618,0.00412779,0.00389876
narrow,46100,0.944517,0.941231,0.0034792,0.00328617
narrow,46600,0.944517,0.941468,0.0032285,0.00304937
narrow,47100,0.944517,0.941771,0.00290714,0.00274585
narrow,47600,0.944517,0.941678,0.00300603,0.00283924
narrow,48100,0.944517,0.941762,0.00291686,0.00275502
narrow,48600,0.944517,0.941566,0.00312406,0.00295072
narrow,49100,0.944517,0.94196,0.00270753,0.00255731
narrow,49600,0.944517,0.942107,0.00255192,0.00241033
narrow,50100,0.944517,0.942285,0.0023637,0.00223256
narrow,50600,0.944517,0.942258,0.00239137,0.00225869
narrow,51100,0.944517,0.942894,0.00171819,0.00162286
narrow,51600,0.944517,0.94283,0.00178625,0.00168715
narrow,52100,0.944517,0.942864,0.00174998,0.00165289
narrow,52600,0.944517,0.942352,0.00229268,0.00216547
narrow,53100,0.944517,0.942549,0.00208384,0.00196822
narrow,53600,0.944517,0.942869,0.00174537,0.00164853
narrow,54100,0.944517,0.943026,0.00157852,0.00149094
narrow,54600,0.944517,0.942717,0.00190629,0.00180052
narrow,55100,0.944517,0.942321,0.00232552,0.0021965
narrow,55600,0.944517,0.942266,0.00238323,0.002251
narrow,56100,0.944517,0.942333,0.00231233,0.00218403
narrow,56600,0.944517,0.94222,0.00243235,0.0022974
narrow,57100,0.944517,0.943026,0.00157887,0.00149127
narrow,57600,0.944517,0.943261,0.00133041,0.0012566
narrow,58100,0.944517,0.943491,0.00108623,0.00102596
narrow,58600,0.944517,0.944208,0.000327146,0.000308995
narrow,59100,0.944517,0.943912,0.000640542,0.000605003
narrow,59600,0.944517,0.943961,0.000588424,0.000555777
narrow,60100,0.944517,0.943363,0.00122192,0.00115412
narrow,60600,0.944517,0.943249,0.00134302,0.00126851
narrow,61100,0.944517,0.943081,0.00152071,0.00143633
narrow,61600,0.944517,0.942751,0.00186979,0.00176605
narrow,62100,0.944517,0.943325,0.00126243,0.00119239
narrow,62600,0.944517,0.943025,0.00157942,0.00149179
narrow,63100,0.944517,0.943052,0.00155111,0.00146505
narrow,63600,0.944517,0.942627,0.00200151,0.00189046
narrow,64100,0.944517,0.942155,0.00250071,0.00236196
narrow,64600,0.944517,0.94245,0.00218894,0.0020675
narrow,65100,0.944517,0.942558,0.00207437,0.00195927
narrow,65600,0.944517,0.942536,0.00209791,0.00198152
narrow,66100,0.944517,0.942693,0.00193162,0.00182445
narrow,66600,0.944517,0.942619,0.00200962,0.00189812
narrow,67100,0.944517,0.942899,0.00171313,0.00161808
narrow,67600,0.944517,0.942925,0.00168571,0.00159219
narrow,68100,0.944517,0.942578,0.00205281,0.00193892
narrow,68600,0.944517,0.943123,0.00147559,0.00139372
narrow,69100,0.944517,0.943318,0.00126923,0.00119881
narrow,69600,0.944517,0.943608,0.000963001,0.000909571
narrow,70100,0.944517,0.94382,0.000737717,0.000696786
narrow,70600,0.944517,0.943791,0.000769062,0.000726393
narrow,71100,0.944517,0.944308,0.000221158,0.000208888
narrow,71600,0.944517,0.944276,0.000255673,0.000241488
narrow,72100,0.944517,0.944361,0.000165626,0.000156437
narrow,72600,0.944517,0.944561,4.64082e-05,4.38334e-05
narrow,73100,0.944517,0.945128,0.000647175,0.000611268
narrow,73600,0.944517,0.944862,0.000364592,0.000344363
narrow,74100,0.944517,0.944826,0.000327289,0.00030913
narrow,74600,0.944517,0.945086,0.00060229,0.000568873
narrow,75100,0.944517,0.944982,0.000492426,0.000465104
narrow,75600,0.944517,0.945059,0.000573356,0.000541544
narrow,76100,0.944517,0.945023,0.000535662,0.000505942
narrow,76600,0.944517,0.945385,0.000918916,0.000867932
narrow,77100,0.944517,0.945436,0.000972298,0.000918352
narrow,77600,0.944517,0.945616,0.00116334,0.00109879
narrow,78100,0.944517,0.945426,0.000962463,0.000909063
narrow,78600,0.944517,0.945325,0.000855199,0.00080775
narrow,79100,0.944517,0.945289,0.000817153,0.000771815
narrow,79600,0.944517,0.945254,0.000779585,0.000736332
narrow,80100,0.944517,0.945408,0.000943528,0.000891179
narrow,80600,0.944517,0.945142,0.000661449,0.00062475
narrow,81100,0.944517,0.945441,0.000978536,0.000924244
narrow,81600,0.944517,0.945551,0.00109439,0.00103367
narrow,82100,0.944517,0.945083,0.000598609,0.000565396
narrow,82600,0.944517,0.944865,0.000368771,0.00034831
narrow,83100,0.944517,0.944834,0.000335483,0.000316869
narrow,83600,0.944517,0.94456,4.57597e-05,4.32208e-05
narrow,84100,0.944517,0.944451,7.03142e-05,6.6413e-05
narrow,84600,0.944517,0.944622,0.000111081,0.000104918
narrow,85100,0.944517,0.944911,0.000416498,0.00039339
narrow,85600,0.944517,0.945018,0.000530223,0.000500805
narrow,86100,0.944517,0.944732,0.000227,0.000214405
narrow,86600,0.944517,0.944507,1.07378e-05,1.0142e-05
narrow,87100,0.944517,0.944596,8.29381e-05,7.83365e-05
narrow,87600,0.944517,0.944625,0.000114268,0.000107928
narrow,88100,0.944517,0.944942,0.000449886,0.000424925
narrow,88600,0.944517,0.945065,0.000579767,0.0005476
narrow,89100,0.944517,0.945433,0.000969251,0.000915474
narrow,89600,0.944517,0.945495,0.00103487,0.000977457
narrow,90100,0.944517,0.945368,0.000901183,0.000851183
narrow,90600,0.944517,0.945057,0.000571475,0.000539768
narrow,91100,0.944517,0.945176,0.000697124,0.000658445
narrow,91600,0.944517,0.945219,0.000743267,0.000702028
narrow,92100,0.944517,0.944932,0.000439213,0.000414845
narrow,92600,0.944517,0.944976,0.000486251,0.000459272
narrow,93100,0.944517,0.945002,0.000513564,0.00048507
narrow,93600,0.944517,0.944829,0.000330307,0.000311981
narrow,94100,0.944517,0.944838,0.000339144,0.000320327
narrow,94600,0.944517,0.944703,0.000196575,0.000185668
narrow,95100,0.944517,0.94473,0.000224837,0.000212362
narrow,95600,0.944517,0.945092,0.000608411,0.000574655
narrow,96100,0.944517,0.94494,0.000448048,0.000423189
narrow,96600,0.944517,0.945245,0.000770929,0.000728156
narrow,97100,0.944517,0.945652,0.00120105,0.00113441
narrow,97600,0.944517,0.945569,0.00111344,0.00105167
narrow,98100,0.944517,0.945418,0.000953775,0.000900857
narrow,98600,0.944517,0.945423,0.000959047,0.000905836
narrow,99100,0.944517,0.945172,0.000693437,0.000654963
narrow,99600,0.944517,0.945026,0.000538282,0.000508417
